title,company,location,job_type,source,priority_score,url,list_source
Data Analyst,Zetheta Algorithms Private Limited,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-at-zetheta-algorithms-private-limited-4388670640?position=48&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=1Hv%2BMJbrkotSk3wp0GcGAw%3D%3D,data_analyst_roles
Data Analyst,Zorvyn,Work from home,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zorvyn1771821504,data_analyst_roles
Data Analyst (Bengali Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-bengali-speaker-job-at-peroptyx1774023771,data_analyst_roles
Data Analyst (English Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-english-speaker-job-at-peroptyx1774022555,data_analyst_roles
Data Analyst (Gujarati Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-gujarati-speaker-job-at-peroptyx1774024430,data_analyst_roles
Data Analyst (Kannada Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-kannada-speaker-job-at-peroptyx1774023424,data_analyst_roles
Data Analyst (Malayalam Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-malayalam-speaker-job-at-peroptyx1773399470,data_analyst_roles
Data Analyst (Marathi Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-marathi-speaker-job-at-peroptyx1774023194,data_analyst_roles
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,Greater Kolkata Area,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299778190?position=51&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=GcrvFBKKrrQzIyq%2FwpXlVw%3D%3D,data_analyst_roles
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,"Pune Division, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767576?position=2&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=9CJfn0Q%2F1sdRMJpMqE3K3w%3D%3D,data_analyst_roles
Data Analyst (Odia/Oriya Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-odia-oriya-speaker-job-at-peroptyx1774022923,data_analyst_roles
Data Analyst (Punjabi Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-punjabi-speaker-job-at-peroptyx1774024101,data_analyst_roles
Data Analyst (Tamil Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-tamil-speaker-job-at-peroptyx1772801982,data_analyst_roles
Data Analyst (Telugu Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-telugu-speaker-job-at-peroptyx1772802048,data_analyst_roles
Data Analyst (Urdu Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-urdu-speaker-job-at-peroptyx1773399715,data_analyst_roles
Data Analyst - Propulsion [T500-24579],Delta Air Lines,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-propulsion-t500-24579-at-delta-air-lines-4389067630?position=15&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=IRYuB0%2BhBvOCGNvmRH4cew%3D%3D,data_analyst_roles
Data Analyst - Sales Operations,Marsh McLennan,Mumbai Metropolitan Region,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-sales-operations-at-marsh-mclennan-4388680763?position=28&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=ZNjd5vW4c%2FgDuYria%2BFTTg%3D%3D,data_analyst_roles
Data Analyst 2,Zynga,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-2-at-zynga-4389200280?position=30&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=gxW%2FyuJydH%2Flfeb6LIuZ9A%3D%3D,data_analyst_roles
Data Analyst Intern,Inficore Soft,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-intern-at-inficore-soft-4388674802?position=1&pageNum=5&refId=i4OSJCEE7d0k7Q8L0v22Gg%3D%3D&trackingId=c4PqYlKsGA23L3cjO5ZPkg%3D%3D,internships_all
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=46&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=YcVTU0qjxqGL2qZec%2FevKQ%3D%3D,internships_all
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388691818?position=47&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=4Fq%2Fu9a8yfj%2FvhDXBuLE3Q%3D%3D,internships_all
"Data Analyst Internship Anand Consturction No prior experience required Full Time Work from Home Spreadsheet Software (Excel, Google Sheets) Tableau Data Analysis (Excel) +2 Data Analysis Engineering Students Postgraduate +3 10 K - 15 K/Month Posted Mar 23, 2026 9 days left",Data Analyst Internship,Work from Home,Internship,Unstop,0.0,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,internships_all
"Data Analyst Internship Wikasta Business and Technical Solutions Pvt. Ltd. No prior experience required Part Time Work from Home Data Collection Data Organization Spreadsheet Software (Excel, Google Sheets) +8 Data Analysis Engineering Students Postgraduate +1 7.5 K - 14.75 K/Month Posted Mar 23, 2026 14 days left",Data Analyst Internship,Work from Home,Internship,Unstop,0.0,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,internships_all
Data Analyst Trainee,MTEPulse,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388966487?position=11&pageNum=0&refId=TgzdNFK47%2BAlPHk5ZRGDkA%3D%3D&trackingId=HVf99PMl6i51ZSVn%2FNxKaA%3D%3D,internships_all
Data Analyst: Economics Unit,The Economist,"Gurgaon, Haryana, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-economics-unit-at-the-economist-4389232588?position=5&pageNum=0&refId=TgzdNFK47%2BAlPHk5ZRGDkA%3D%3D&trackingId=VoQ82KBYFaHsLcyjCDUoRw%3D%3D,data_analyst_roles
Data Analytics Trainee,HEXA SOLUTIONS,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-data-analytics-trainee-job-at-hexa-solutions1771943574,internships_all
Data Analytics Trainee,Tech4NexGen Business Solution,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/remote-data-analytics-trainee-job-at-tech4nexgen-business-solution1772473217,internships_all
Data Engineer,Aaptatt,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-data-engineer-job-at-aaptatt1773307041,engineering_fresher_roles
