title,company,location,job_type,source,priority_score,url
Business Analyst,GoodSpace AI,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-goodspace-ai-4386664140?position=42&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=JaIJWsAAIEvZfriPYokVfg%3D%3D
Business Analyst,Innovfix Private Limited,Bangalore (Hybrid),Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-business-analyst-job-in-bangalore-at-innovfix-private-limited1772776422
Business Analyst,Insight Global,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-insight-global-4388910011?position=10&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=fOv%2BrJgIN892DN6Z%2Bolwzg%3D%3D
Business Analyst,Norstella,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-norstella-4389080511?position=43&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=p5WJryVgJLqIsAygf2rADg%3D%3D
Business Analyst,PlaySimple Games,"Bangalore North Rural, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-playsimple-games-4389052389?position=40&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=ChNn75QeHCzXKb9yHYLdqA%3D%3D
Business Analyst,Runmap Infotech Private Ltd.,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-runmap-infotech-private-ltd-4389081579?position=37&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=0N6ZVFqlBVUU3bI46h9mXw%3D%3D
Business Analyst,SMB Catalyst,Mumbai,Job,Internshala - Job,0.0,https://internshala.com/job/detail/business-analyst-job-in-mumbai-at-smb-catalyst1772736958
Business Analyst,Scoutit,"Bangalore Rural, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388907725?position=52&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=RDEx1LoT2yq%2B3BH0k64bcQ%3D%3D
Business Analyst,Scoutit,"Bangalore Urban district, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388912451?position=38&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=TGY8HNXeTAhCutdyRFcHyg%3D%3D
Business Analyst,Scoutit,"Bengaluru East, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388922138?position=6&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=17h%2FDRsQOPT7puzcazKIGg%3D%3D
Business Analyst,Scoutit,"Bengaluru North, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388905681?position=27&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=QZ1ttvugl3xv1T2yxjIxYA%3D%3D
Business Analyst,Scoutit,"Bengaluru South, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388915375?position=7&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=Xf53a%2Fl2t0Glz6MTsjeyJg%3D%3D
Business Analyst,Scoutit,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914376?position=8&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=gD6WgTpctIygkkR%2FuJo9%2Fw%3D%3D
Business Analyst,Scoutit,"Delhi, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914292?position=12&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=cYmmIs40b2s8HGCXhC49rA%3D%3D
