title,company,location,job_type,url,link,source,score,skills,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Data Analyst,Scoutit,"Delhi, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390127139?position=15&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=deqEuwJIRs8ffsnhWZCBQQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390127139?position=15&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=deqEuwJIRs8ffsnhWZCBQQ%3D%3D,LinkedIn,3,,2026-03-25,6 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Scoutit,"Gurugram, Haryana, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390110583?position=12&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=sgOgO6i5rm4av2PCnqv%2Fvg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390110583?position=12&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=sgOgO6i5rm4av2PCnqv%2Fvg%3D%3D,LinkedIn,3,,2026-03-25,6 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,AgileGrid Solutions,India,Job,https://in.linkedin.com/jobs/view/data-analyst-at-agilegrid-solutions-4389907859?position=57&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=SUVSw9HG80RANX9ngtIQOw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-agilegrid-solutions-4389907859?position=57&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=SUVSw9HG80RANX9ngtIQOw%3D%3D,LinkedIn,3,,2026-03-24,19 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Lavender,India,Job,https://in.linkedin.com/jobs/view/data-analyst-at-lavender-4390329444?position=30&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=YQgCQxjpTISO%2FBjFQnxaTQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-lavender-4390329444?position=30&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=YQgCQxjpTISO%2FBjFQnxaTQ%3D%3D,LinkedIn,3,,2026-03-25,5 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Ascendeum,India,Job,https://in.linkedin.com/jobs/view/data-analyst-at-ascendeum-4376582220?position=16&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=qoPpT3LKzctJO%2Bdu%2FE71lw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-ascendeum-4376582220?position=16&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=qoPpT3LKzctJO%2Bdu%2FE71lw%3D%3D,LinkedIn,3,,2026-03-25,12 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Firstsource,India,Job,https://in.linkedin.com/jobs/view/data-analyst-at-firstsource-4390116783?position=14&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=r%2F1yiu3prWd5%2Bk56uo69jw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-firstsource-4390116783?position=14&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=r%2F1yiu3prWd5%2Bk56uo69jw%3D%3D,LinkedIn,3,,2026-03-25,4 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,NTT DATA North America,"Mumbai, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-ntt-data-north-america-4380143408?position=3&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=L2MLCo%2Buq9QxWJxA2QxAZA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-ntt-data-north-america-4380143408?position=3&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=L2MLCo%2Buq9QxWJxA2QxAZA%3D%3D,LinkedIn,3,,2026-03-25,5 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Scoutit,"New Delhi, Delhi, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390107666?position=21&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=j1YbWMPfYuEjYgy3yfO%2BlQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390107666?position=21&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=j1YbWMPfYuEjYgy3yfO%2BlQ%3D%3D,LinkedIn,3,,2026-03-25,6 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Scoutit,"Noida, Uttar Pradesh, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390127138?position=19&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=CCTX3oTUXg4%2Fme%2FMDoiBQQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4390127138?position=19&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=CCTX3oTUXg4%2Fme%2FMDoiBQQ%3D%3D,LinkedIn,3,,2026-03-25,6 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,Zoomies,"Pune Division, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-zoomies-4389605188?position=18&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=EsENlynPU6g5e5tut5ppLg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-zoomies-4389605188?position=18&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=EsENlynPU6g5e5tut5ppLg%3D%3D,LinkedIn,3,,2026-03-25,7 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst (Dataiku),SWITS DIGITAL Private Limited,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/data-analyst-dataiku-at-swits-digital-private-limited-4389772021?position=39&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=%2FmFWPS3ktLqkzUbjzpfSvw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-dataiku-at-swits-digital-private-limited-4389772021?position=39&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=%2FmFWPS3ktLqkzUbjzpfSvw%3D%3D,LinkedIn,3,,2026-03-24,23 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,Greater Lucknow Area,Job,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767577?position=11&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=8hCV1fvqIuEg18oaCuffhw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767577?position=11&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=8hCV1fvqIuEg18oaCuffhw%3D%3D,LinkedIn,3,,2026-03-24,22 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Data Analyst (Python, R)",NielsenIQ,"Vadodara, Gujarat, India",Job,https://in.linkedin.com/jobs/view/data-analyst-python-r-at-nielseniq-4390100745?position=6&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=1dWYf8xC4OpxJGBKLcQiPA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-python-r-at-nielseniq-4390100745?position=6&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=1dWYf8xC4OpxJGBKLcQiPA%3D%3D,LinkedIn,3,,2026-03-25,7 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst (Tableau & Python),SWITS DIGITAL Private Limited,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/data-analyst-tableau-python-at-swits-digital-private-limited-4389762231?position=9&pageNum=2&refId=Q3UoXGe7Tzo3pUTXytj9GA%3D%3D&trackingId=XKnMgfVP8iqs5DhzKliEaQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-tableau-python-at-swits-digital-private-limited-4389762231?position=9&pageNum=2&refId=Q3UoXGe7Tzo3pUTXytj9GA%3D%3D&trackingId=XKnMgfVP8iqs5DhzKliEaQ%3D%3D,LinkedIn,3,,2026-03-24,23 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst Trainee,MTE Trainings,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mte-trainings-4389883710?position=41&pageNum=0&refId=fqmK%2F3v%2FWcTciRUwQy57Wg%3D%3D&trackingId=mQxv7vvdorTCzPMrTEhrAQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mte-trainings-4389883710?position=41&pageNum=0&refId=fqmK%2F3v%2FWcTciRUwQy57Wg%3D%3D&trackingId=mQxv7vvdorTCzPMrTEhrAQ%3D%3D,LinkedIn,3,,2026-03-25,11 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst Trainee,MedTourEasy Mumbai,India,Job,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-mumbai-4390160210?position=34&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=3JYZ8GPhuU2y9QEC9DPS6A%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-mumbai-4390160210?position=34&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=3JYZ8GPhuU2y9QEC9DPS6A%3D%3D,LinkedIn,3,,2026-03-25,17 minutes ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst Trainee,MedTourEasy Hyderabad,India,Job,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-hyderabad-4390134681?position=25&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=%2BgVp9Xx8Kp%2BclydQ2123EQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-hyderabad-4390134681?position=25&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=%2BgVp9Xx8Kp%2BclydQ2123EQ%3D%3D,LinkedIn,3,,2026-03-25,1 hour ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst | Remote,Crossing Hurdles,India,Job,https://in.linkedin.com/jobs/view/data-analyst-remote-at-crossing-hurdles-4370635411?position=4&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=0Y6n92a0dHAN3djfkzKzyg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-remote-at-crossing-hurdles-4370635411?position=4&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=0Y6n92a0dHAN3djfkzKzyg%3D%3D,LinkedIn,3,,2026-03-25,5 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Data Analyst, VP",NatWest Group,"Gurugram, Haryana, India",Job,https://in.linkedin.com/jobs/view/data-analyst-vp-at-natwest-group-4390347047?position=9&pageNum=2&refId=peSj0qC3M%2BLH5ytTonkHkg%3D%3D&trackingId=H%2FQN769Jd9CgdmCuHW38Ww%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-vp-at-natwest-group-4390347047?position=9&pageNum=2&refId=peSj0qC3M%2BLH5ytTonkHkg%3D%3D&trackingId=H%2FQN769Jd9CgdmCuHW38Ww%3D%3D,LinkedIn,3,,2026-03-25,4 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst-Retail Assets,IDFC FIRST Bank,"Mumbai, Maharashtra, India",Internship,https://in.linkedin.com/jobs/view/data-analyst-retail-assets-at-idfc-first-bank-4390126357?position=1&pageNum=2&refId=NDRXB1%2FF4UHmzhV%2FWJPI8A%3D%3D&trackingId=pgd3H%2FZ3QHtA6ONsJkVM5A%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-retail-assets-at-idfc-first-bank-4390126357?position=1&pageNum=2&refId=NDRXB1%2FF4UHmzhV%2FWJPI8A%3D%3D&trackingId=pgd3H%2FZ3QHtA6ONsJkVM5A%3D%3D,LinkedIn,3,,2026-03-25,5 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Governance Business Analyst,TransUnion,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/data-governance-business-analyst-at-transunion-4389812033?position=10&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=FnDLI2IMI3vbvdzW0HxhLg%3D%3D,https://in.linkedin.com/jobs/view/data-governance-business-analyst-at-transunion-4389812033?position=10&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=FnDLI2IMI3vbvdzW0HxhLg%3D%3D,LinkedIn,3,,2026-03-24,1 day ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Healthcare Data Analyst,Milliman,"Gurgaon, Haryana, India",Job,https://in.linkedin.com/jobs/view/healthcare-data-analyst-at-milliman-4361849937?position=9&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=ErDBVDc%2BPuxLnJI9b885Vw%3D%3D,https://in.linkedin.com/jobs/view/healthcare-data-analyst-at-milliman-4361849937?position=9&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=ErDBVDc%2BPuxLnJI9b885Vw%3D%3D,LinkedIn,3,,2026-03-25,4 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
IN_Specialist 2_Business Analyst_Data & Analytics_Advisory_PAN India,PwC India,Greater Kolkata Area,Job,https://in.linkedin.com/jobs/view/in-specialist-2-business-analyst-data-analytics-advisory-pan-india-at-pwc-india-4378600581?position=27&pageNum=0&refId=OKQs6kJrsjf3wJoXXM8n0A%3D%3D&trackingId=gBItLtMl8kpDVGh6KPab3A%3D%3D,https://in.linkedin.com/jobs/view/in-specialist-2-business-analyst-data-analytics-advisory-pan-india-at-pwc-india-4378600581?position=27&pageNum=0&refId=OKQs6kJrsjf3wJoXXM8n0A%3D%3D&trackingId=gBItLtMl8kpDVGh6KPab3A%3D%3D,LinkedIn,3,,2026-03-25,2 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
